yyyymmdd,from_ccy,to_ccy,fx_rate
20170625,GBP,AUD,1.6842
20170626,GBP,AUD,1.6774
20170627,GBP,AUD,1.69
20170628,GBP,AUD,1.6921
20170629,GBP,AUD,1.693
20170630,GBP,AUD,1.6951
20170702,GBP,AUD,1.6922
20170703,GBP,AUD,1.6893
20170704,GBP,AUD,1.699
20170705,GBP,AUD,1.7012
20170706,GBP,AUD,1.71
20170707,GBP,AUD,1.6961
20170709,GBP,AUD,1.6948
20170710,GBP,AUD,1.6935
20170711,GBP,AUD,1.682
20170712,GBP,AUD,1.6780000000000002
20170713,GBP,AUD,1.6737
20170714,GBP,AUD,1.6728
20170716,GBP,AUD,1.6733
20170717,GBP,AUD,1.6733
20170718,GBP,AUD,1.6473
20170719,GBP,AUD,1.6374
20170720,GBP,AUD,1.63
20170721,GBP,AUD,1.6418
20170723,GBP,AUD,1.6438
20170724,GBP,AUD,1.6442
20170725,GBP,AUD,1.641
20170726,GBP,AUD,1.6391
20170727,GBP,AUD,1.6399
20170728,GBP,AUD,1.6446
20170730,GBP,AUD,1.6440000000000001
20170731,GBP,AUD,1.6513
20170801,GBP,AUD,1.6567
20170802,GBP,AUD,1.6593
20170803,GBP,AUD,1.6528
20170804,GBP,AUD,1.6469999999999998
20170806,GBP,AUD,1.6468
20170807,GBP,AUD,1.6473
20170808,GBP,AUD,1.6417
20170809,GBP,AUD,1.6486
20170810,GBP,AUD,1.6478
20170811,GBP,AUD,1.6482
20170813,GBP,AUD,1.6476
20170814,GBP,AUD,1.6511
20170815,GBP,AUD,1.6454
20170816,GBP,AUD,1.6267
20170817,GBP,AUD,1.6319
20170818,GBP,AUD,1.6218
20170820,GBP,AUD,1.6221
20170821,GBP,AUD,1.6249
20170822,GBP,AUD,1.6209
20170823,GBP,AUD,1.6194
20170824,GBP,AUD,1.6192
20170825,GBP,AUD,1.6244
20170827,GBP,AUD,1.6315
20170828,GBP,AUD,1.6239
20170829,GBP,AUD,1.6248
20170830,GBP,AUD,1.635
20170831,GBP,AUD,1.6271
20170901,GBP,AUD,1.6230000000000002
20170903,GBP,AUD,1.6313
20170904,GBP,AUD,1.6281
20170905,GBP,AUD,1.6299
