yyyymmdd,portfolio,mkt_val,weight
2019-10-30,LPPI  GF BARON BNYMILTD BRZEX589145,21083423.504165612,0.0030985582717402396
2019-10-30,LPPI GEF BARON BNYMILTD,330226252.67194176,0.04853221710223016
2019-10-30,LPPI GEF CASH ONLY BNYMILTD,0.0,0.0
2019-10-30,LPPI GEF FIRST EAGLE BNYMILTD,863404049.2927306,0.12689152491109554
2019-10-30,LPPI GEF INTERNAL EQUITY BNYMILTD,2832271212.4851947,0.41624916330707984
2019-10-30,LPPI GEF INTRNL INCUBATOR BNYMILTD,11086213.003673913,0.0016293026129281598
2019-10-30,LPPI GEF MAGELLAN BNYMILTD,990612278.7446781,0.14558688107675263
2019-10-30,LPPI GEF ROBECO BNYMILTD,1040360256.1229997,0.15289817028827413
2019-10-30,LPPI GEF WELLINGTON BNYMILTD,712354824.9193156,0.104692339682486
2019-10-30,LPPI GF FT EGL BNYMILTD BRZEX650557,2870331.462528887,0.0004218427474123408
2019-10-31,LPPI  GF BARON BNYMILTD BRZEX589145,20744845.79272161,0.0030744186762183563
2019-10-31,LPPI GEF BARON BNYMILTD,328598515.95324194,0.04869881533555344
2019-10-31,LPPI GEF CASH ONLY BNYMILTD,0.0,0.0
2019-10-31,LPPI GEF FIRST EAGLE BNYMILTD,861224775.0202603,0.12763486213395794
2019-10-31,LPPI GEF INTERNAL EQUITY BNYMILTD,2802041856.611931,0.41526699699718916
2019-10-31,LPPI GEF INTRNL INCUBATOR BNYMILTD,11060290.60533435,0.0016391524112159342
2019-10-31,LPPI GEF MAGELLAN BNYMILTD,985891502.9374099,0.14611066669963907
2019-10-31,LPPI GEF ROBECO BNYMILTD,1026292711.9447019,0.15209818922715768
2019-10-31,LPPI GEF WELLINGTON BNYMILTD,708904444.0937352,0.1050607502390133
2019-10-31,LPPI GF FT EGL BNYMILTD BRZEX650557,2807988.3730318937,0.00041614828005528677
2019-11-01,LPPI  GF BARON BNYMILTD BRZEX589145,20699586.01309215,0.003072062972079976
2019-11-01,LPPI GEF BARON BNYMILTD,318505798.6679657,0.04727002123915672
2019-11-01,LPPI GEF CASH ONLY BNYMILTD,0.0,0.0
2019-11-01,LPPI GEF FIRST EAGLE BNYMILTD,865486712.3362606,0.12844844723531154
2019-11-01,LPPI GEF INTERNAL EQUITY BNYMILTD,2820735481.2191205,0.4186304508894371
2019-11-01,LPPI GEF INTRNL INCUBATOR BNYMILTD,11175891.862765623,0.0016586343103604628
2019-11-01,LPPI GEF MAGELLAN BNYMILTD,987054401.0265373,0.1464905276320178
2019-11-01,LPPI GEF ROBECO BNYMILTD,1029714609.1432664,0.15282180622153835
2019-11-01,LPPI GEF WELLINGTON BNYMILTD,681866940.0466409,0.10119710496035403
2019-11-01,LPPI GF FT EGL BNYMILTD BRZEX650557,2768947.7476081653,0.0004109445397444735
2019-11-04,LPPI  GF BARON BNYMILTD BRZEX589145,20477538.758386016,0.003131313390923328
2019-11-04,LPPI GEF BARON BNYMILTD,329655256.6530253,0.05040908146850184
2019-11-04,LPPI GEF CASH ONLY BNYMILTD,0.0,0.0
2019-11-04,LPPI GEF FIRST EAGLE BNYMILTD,742328136.1632262,0.1135127644319631
2019-11-04,LPPI GEF INTERNAL EQUITY BNYMILTD,2834915637.3679066,0.4334998166609613
2019-11-04,LPPI GEF INTRNL INCUBATOR BNYMILTD,11151427.066338833,0.001705215324592252
2019-11-04,LPPI GEF MAGELLAN BNYMILTD,955220756.511191,0.1460671412440366
2019-11-04,LPPI GEF ROBECO BNYMILTD,996432083.4025964,0.15236895228077213
2019-11-04,LPPI GEF WELLINGTON BNYMILTD,646610701.4499173,0.09887617706670315
2019-11-04,LPPI GF FT EGL BNYMILTD BRZEX650557,2809007.79923825,0.0004295381315472147
2019-11-05,LPPI  GF BARON BNYMILTD BRZEX589145,20629504.506850645,0.0030695279567387267
2019-11-05,LPPI GEF BARON BNYMILTD,331907869.6453316,0.04938560131677497
2019-11-05,LPPI GEF CASH ONLY BNYMILTD,0.0,0.0
2019-11-05,LPPI GEF FIRST EAGLE BNYMILTD,872138820.6413156,0.12976824000918993
2019-11-05,LPPI GEF INTERNAL EQUITY BNYMILTD,2817599786.817334,0.4192394108964092
2019-11-05,LPPI GEF INTRNL INCUBATOR BNYMILTD,11126540.999555163,0.0016555525436198735
2019-11-05,LPPI GEF MAGELLAN BNYMILTD,949947350.9239868,0.141345612548414
2019-11-05,LPPI GEF ROBECO BNYMILTD,1031220164.3757788,0.15343844652463687
2019-11-05,LPPI GEF WELLINGTON BNYMILTD,683393071.6125933,0.10168417462764574
2019-11-05,LPPI GF FT EGL BNYMILTD BRZEX650557,2778580.2740258477,0.00041343357657149763
2019-11-06,LPPI  GF BARON BNYMILTD BRZEX589145,20220672.13733186,0.0029913307836137056
2019-11-06,LPPI GEF BARON BNYMILTD,330928213.7305977,0.04895563046448036
2019-11-06,LPPI GEF CASH ONLY BNYMILTD,0.0,0.0
2019-11-06,LPPI GEF FIRST EAGLE BNYMILTD,873383596.6196464,0.12920338259420175
2019-11-06,LPPI GEF INTERNAL EQUITY BNYMILTD,2838630416.028111,0.4199307762421147
2019-11-06,LPPI GEF INTRNL INCUBATOR BNYMILTD,11175574.727417093,0.0016532507168730151
2019-11-06,LPPI GEF MAGELLAN BNYMILTD,956409054.0751443,0.14148569472623615
2019-11-06,LPPI GEF ROBECO BNYMILTD,1036853446.6173656,0.15338617885190398
2019-11-06,LPPI GEF WELLINGTON BNYMILTD,689447731.3536474,0.1019929608909098
2019-11-06,LPPI GF FT EGL BNYMILTD BRZEX650557,2709275.3724802807,0.00040079472966797876
2019-11-07,LPPI  GF BARON BNYMILTD BRZEX589145,20390802.089359112,0.0030087482396429
2019-11-07,LPPI GEF BARON BNYMILTD,329444006.3719563,0.048610842765709074
2019-11-07,LPPI GEF CASH ONLY BNYMILTD,0.0,0.0
