yyyymmdd,security_name,positions,mkt_val_gbp,weight_in_total
2019-10-24,PepsiCo Inc,1168627.0,125392558.5790989,0.018433491074813683
2019-10-24,Starbucks Corp,2248104.0,145511859.55956736,0.021391154266772624
2019-10-24,Visa Inc,1528695.0,209551716.75356004,0.03080541416699747
2019-10-25,Accenture PLC,1061355.0,151479114.25118887,0.02228293946815448
2019-10-25,Alphabet Inc,180207.0,177673731.9638263,0.026136230291562933
2019-10-25,Apple Inc,810419.0,155791001.0290793,0.022917228310812623
2019-10-25,British American Tobacco PLC,5628884.0,152486467.56,0.02243112354563767
2019-10-25,Colgate-Palmolive Co,2870296.0,153080961.53426367,0.02251857502901995
2019-10-25,Nestle SA,2654707.0,217819978.648691,0.03204183905600959
2019-10-25,Not Available,34251484.0,340016697.00312084,0.050017268155651995
2019-10-25,PepsiCo Inc,1168627.0,124488339.65853278,0.018312532066316656
2019-10-25,Starbucks Corp,2248104.0,146134646.8542917,0.021496755550435603
2019-10-25,Visa Inc,1528695.0,211957905.78467295,0.03117951413793396
2019-10-28,Accenture PLC,1061355.0,150890141.37448496,0.022498880405670597
2019-10-28,Alphabet Inc,180207.0,180645884.7236259,0.026935690557055057
2019-10-28,Apple Inc,810419.0,156911180.86760476,0.023396663695152153
2019-10-28,British American Tobacco PLC,5628884.0,152767911.76000002,0.022778870409975525
2019-10-28,Colgate-Palmolive Co,2870296.0,150287207.96081784,0.022408978397208613
2019-10-28,Nestle SA,2654707.0,216818368.42845973,0.03232928603942196
2019-10-28,Not Available,33524008.0,336376213.1446694,0.050156280071814024
2019-10-28,PepsiCo Inc,1168627.0,124076334.75083572,0.018500735643190606
2019-10-28,Starbucks Corp,2248104.0,146110156.57311666,0.02178614791428801
2019-10-28,Visa Inc,1528695.0,213729696.6493042,0.031868741325641596
2019-10-29,Accenture PLC,1061355.0,152494482.97309905,0.022353062310972154
2019-10-29,Alphabet Inc,180207.0,176750523.48001865,0.025908579692963507
2019-10-29,Apple Inc,810419.0,153294074.4129995,0.022470268631692412
2019-10-29,British American Tobacco PLC,5628884.0,152880489.44,0.02240964420455185
2019-10-29,Colgate-Palmolive Co,2870296.0,151570909.90514693,0.02221768242093173
2019-10-29,Nestle SA,2654707.0,217382543.33515754,0.031864533337547477
2019-10-29,Not Available,36469549.0,340902016.23182946,0.04997035867920793
2019-10-29,PepsiCo Inc,1168627.0,123640772.94355467,0.018123605837409736
2019-10-29,Starbucks Corp,2248104.0,147047884.87016016,0.02155468492443225
2019-10-29,Visa Inc,1528695.0,211119649.23806566,0.030946501030608146
2019-10-30,Accenture PLC,1061355.0,153485983.49093166,0.022557307339011956
2019-10-30,Alphabet Inc,180207.0,176123201.7284142,0.02588422148106682
2019-10-30,Apple Inc,669800.0,126287046.96946208,0.018559973143050572
2019-10-30,British American Tobacco PLC,5628884.0,154597299.06,0.022720633567713387
2019-10-30,Colgate-Palmolive Co,2870296.0,152569291.3346768,0.02242258424421468
2019-10-30,Nestle SA,2654707.0,220189048.8286453,0.03236042753966467
2019-10-30,Not Available,36256660.0,335913814.12343615,0.04936809845603766
2019-10-30,PepsiCo Inc,1168627.0,124000183.14989924,0.018223880629277846
2019-10-30,Starbucks Corp,2248104.0,146696539.88528913,0.02155948615306362
2019-10-30,Visa Inc,1528695.0,212384575.06588122,0.031213430860998412
2019-10-31,Accenture PLC,1061355.0,152060302.9670839,0.02253557534360882
2019-10-31,Alphabet Inc,180207.0,175358792.55910987,0.025988448035221448
2019-10-31,Apple Inc,616870.0,118569449.23504867,0.017572178303926225
2019-10-31,British American Tobacco PLC,5628884.0,152092445.68,0.022540338944065576
2019-10-31,Colgate-Palmolive Co,2870296.0,152142099.8300108,0.022547697766959238
2019-10-31,Nestle SA,2654707.0,219014367.2567758,0.03245827266118418
2019-10-31,Not Available,35787364.0,327233832.5568158,0.04849656711625988
2019-10-31,PepsiCo Inc,1168627.0,123860736.81811158,0.018356355420938993
2019-10-31,Starbucks Corp,2248104.0,146885855.540102,0.02176871412094286
2019-10-31,Visa Inc,1528695.0,211267491.65507653,0.0313101735492322
2019-11-01,Accenture PLC,1061355.0,154308850.68747103,0.022901255424208525
2019-11-01,Alphabet Inc,180207.0,177187957.99474743,0.02629678509076676
2019-11-01,Apple Inc,616870.0,121896866.52247798,0.018090934273730434
2019-11-01,British American Tobacco PLC,5628884.0,154315854.85999998,0.0229022949261127
2019-11-01,Colgate-Palmolive Co,2870296.0,148126429.5998764,0.021983711136656436
2019-11-01,Nestle SA,2654707.0,218620480.81536654,0.032445860686606105
2019-11-01,Not Available,22777851.0,325943397.0595987,0.04837384865897494
2019-11-01,PepsiCo Inc,1168627.0,123605820.41557239,0.018344563209722033
2019-11-01,Starbucks Corp,2248104.0,144496163.9425305,0.021444936849204878
2019-11-01,Visa Inc,1528695.0,213646521.20346054,0.031707666350801855
2019-11-04,Accenture PLC,1061355.0,154705424.55759084,0.02365670861530062
2019-11-04,Alphabet Inc,176472.0,176742434.70971748,0.027026487854859303
2019-11-04,Apple Inc,610852.0,122085058.98789197,0.01866858046521316
2019-11-04,British American Tobacco PLC,5628884.0,156876997.08,0.023988773625603498
2019-11-04,Colgate-Palmolive Co,2870296.0,145720320.83203974,0.02228275562482557
2019-11-04,Nestle SA,2633659.0,216602313.10496545,0.03312164276836185
2019-11-04,Not Available,26907649.0,125321570.74184398,0.019163490166745546
2019-11-04,PepsiCo Inc,1154038.0,121064712.88419744,0.01851255471155335
2019-11-04,Starbucks Corp,2206988.0,141097176.00124186,0.021575809566138367
2019-11-04,Visa Inc,1508154.0,209472336.4638311,0.032031365680046664
2019-11-05,Accenture PLC,1061355.0,153947549.20832038,0.022906333305747945
2019-11-05,Alphabet Inc,176472.0,176923487.1313257,0.02632499436779809
2019-11-05,Apple Inc,610852.0,121909635.79633653,0.01813931280552207
2019-11-05,British American Tobacco PLC,5628884.0,157102152.44,0.023375716504401275
2019-11-05,Colgate-Palmolive Co,2870296.0,146945610.1831729,0.02186449308210453
2019-11-05,Nestle SA,2633659.0,213682379.03213197,0.031794463899205996
2019-11-05,Not Available,34266218.0,331578810.46313256,0.049336639580498345
2019-11-05,PepsiCo Inc,1154038.0,120034641.71064885,0.017860326620331494
2019-11-05,Starbucks Corp,2206988.0,140274951.35051227,0.020871945065746775
2019-11-05,Visa Inc,1508154.0,206452282.6606644,0.030718675436387358
2019-11-06,Accenture PLC,1061355.0,156235088.79813302,0.023112526993583096
2019-11-06,Alphabet Inc,176472.0,177275509.18708673,0.02622512665308954
2019-11-06,Apple Inc,610852.0,122236926.0832361,0.018083032918180003
2019-11-06,British American Tobacco PLC,5628884.0,159972883.28,0.02366547496783898
2019-11-06,Colgate-Palmolive Co,2870296.0,148527491.18630883,0.021972309010354397
2019-11-06,Nestle SA,2633659.0,216338485.9045679,0.03200388039386433
2019-11-06,Not Available,33491443.0,332719085.06539494,0.049220561744552895
2019-11-06,PepsiCo Inc,1154038.0,120691457.58070788,0.01785440513195608
2019-11-06,Starbucks Corp,2206988.0,142479917.6351614,0.021077665508553257
2019-11-06,Visa Inc,1508154.0,207387306.5577596,0.030679694029143022
2019-11-07,Accenture PLC,1061355.0,156582364.78895214,0.023104383650691864
2019-11-07,Alphabet Inc,176472.0,180062008.27026606,0.026568903372979378
2019-11-07,Apple Inc,610852.0,123643079.0044472,0.018244054092055137
2019-11-07,British American Tobacco PLC,5628884.0,161267526.6,0.023795698896147
2019-11-07,Colgate-Palmolive Co,2870296.0,149751652.89849418,0.02209648350601594
2019-11-07,Nestle SA,2633659.0,215120703.76411548,0.03174196070976466
2019-11-07,Not Available,30250754.0,327078166.2528863,0.048261753148619246
2019-11-07,PepsiCo Inc,1154038.0,120040841.1952875,0.017712528818081715
2019-11-07,Starbucks Corp,2206988.0,141111544.51119605,0.020821599330950902
2019-11-07,Visa Inc,1508154.0,209955464.0087384,0.0309798079531826
2019-11-08,Accenture PLC,1061355.0,157616285.81493655,0.023214177330071747
2019-11-08,Alphabet Inc,176472.0,180979723.67308593,0.02665521127320121
2019-11-08,Apple Inc,610852.0,124398809.51933615,0.018321812425033186
2019-11-08,British American Tobacco PLC,5628884.0,162421447.82,0.023921895332107642
2019-11-08,Colgate-Palmolive Co,2870296.0,149716472.89807418,0.022050670291581087
2019-11-08,Nestle SA,2633659.0,215240639.7802198,0.031701256977739345
2019-11-08,Not Available,30027153.0,327959378.2402652,0.04830279513418219
2019-11-08,PepsiCo Inc,1154038.0,120273273.0076718,0.017714191609276182
2019-11-08,Starbucks Corp,2206988.0,141275566.58838263,0.020807469470761262
2019-11-08,Visa Inc,1508154.0,211299766.22827616,0.031120833850794054
2019-11-11,Accenture PLC,1061355.0,156920366.6277713,0.023252988737450825
2019-11-11,Alphabet Inc,176472.0,178280681.46246594,0.02641823217240757
2019-11-11,Apple Inc,610852.0,124593850.17502914,0.018462736591407212
2019-11-11,British American Tobacco PLC,5628884.0,163828668.82,0.024276684236785525
2019-11-11,Colgate-Palmolive Co,2870296.0,148572147.67794633,0.022015921520557778
2019-11-11,Nestle SA,2633659.0,215188707.95614725,0.03188738791568266
2019-11-11,Not Available,28878346.0,326403695.9856632,0.04836759962854763
2019-11-11,PepsiCo Inc,1154038.0,118851101.37689611,0.01761175672184219
2019-11-11,Starbucks Corp,2222489.0,142512460.731233,0.02111797668807696
2019-11-11,Visa Inc,1508154.0,210637082.1936989,0.031212912671545863
2019-11-12,Accenture PLC,1061355.0,158174533.00895292,0.023548248710148514
2019-11-12,Alphabet Inc,176472.0,178313048.08096537,0.026546372065075576
2019-11-12,Apple Inc,610852.0,124576714.61268976,0.018546370287224223
2019-11-12,British American Tobacco PLC,5628884.0,164785579.1,0.02453246882842394
2019-11-12,Colgate-Palmolive Co,2870296.0,148911269.3188011,0.022169179443473096
2019-11-12,Nestle SA,2633659.0,214251886.03903738,0.03189676999887257
2019-11-12,Not Available,29918872.0,330646314.6711729,0.049225001679190035
2019-11-12,PepsiCo Inc,1154038.0,118575270.72012456,0.017652904754475483
2019-11-12,Starbucks Corp,2222489.0,144163319.17477617,0.021462327912268923
2019-11-12,Visa Inc,1508154.0,211035889.42000777,0.031417988195030486
2019-11-13,Accenture PLC,1061355.0,160636174.22768658,0.023663700660232094
2019-11-13,Alphabet Inc,176472.0,178102071.96327135,0.026236644007297118
2019-11-13,Apple Inc,610852.0,125711639.90350947,0.01851888362310618
2019-11-13,British American Tobacco PLC,5628884.0,163519080.2,0.02408838846351434
2019-11-13,Colgate-Palmolive Co,2870296.0,149377788.8724613,0.022005200871847104
2019-11-13,Nestle SA,2633659.0,216604635.5104928,0.03190854912339877
2019-11-13,Not Available,30138325.0,328694666.74011856,0.048420800854782224
2019-11-13,PepsiCo Inc,1154038.0,119696307.69589914,0.017632750587274645
2019-11-13,Starbucks Corp,2256504.0,147390044.16776904,0.021712381425001172
2019-11-13,Visa Inc,1508154.0,210550081.0364952,0.031016638161297096
2019-11-14,Accenture PLC,1061355.0,161691444.4573824,0.023843870133383613
2019-11-14,Alphabet Inc,176472.0,179479406.1946903,0.026466976451873805
2019-11-14,Apple Inc,610852.0,124541351.7155721,0.018365522223563586
2019-11-14,British American Tobacco PLC,5628884.0,163237636.0,0.024071879663926384
2019-11-14,Colgate-Palmolive Co,2870296.0,148483562.67660302,0.021896166474882416
2019-11-14,Nestle SA,2633659.0,214235721.89218923,0.03159232541877277
2019-11-14,Not Available,29237275.0,323142944.01641935,0.04765235673107975
2019-11-14,PepsiCo Inc,1154038.0,119444097.60906693,0.017613854345524437
2019-11-14,Starbucks Corp,2256504.0,147806091.84909174,0.021796263066359203
2019-11-14,Visa Inc,1508154.0,210441454.35491383,0.031032802787790574
2019-11-15,Accenture PLC,1061355.0,161964237.8460107,0.023863993177417227
2019-11-15,Alphabet Inc,176472.0,182549748.04993406,0.02689708543033261
2019-11-15,Apple Inc,610852.0,125874255.65635417,0.018546454563949256
2019-11-15,British American Tobacco PLC,5628884.0,160535771.68,0.02365352136405148
2019-11-15,Colgate-Palmolive Co,2870296.0,147709967.8374816,0.021763752983924536
2019-11-15,Nestle SA,2633659.0,214611241.61315584,0.03162106199346733
2019-11-15,Not Available,29221069.0,323570268.63161147,0.04767520772320931
2019-11-15,PepsiCo Inc,1154038.0,119734686.19058695,0.01764184348565277
2019-11-15,Starbucks Corp,2268024.0,148088936.21772507,0.021819590611791406
2019-11-15,Visa Inc,1508154.0,210220085.74086997,0.030974064142763783
2019-11-18,Accenture PLC,1061355.0,162255475.25669733,0.023953318354453794
2019-11-18,Alphabet Inc,176472.0,179866224.07164365,0.026553143550844618
2019-11-18,Apple Inc,610852.0,125961992.74299392,0.018595413855593716
2019-11-18,British American Tobacco PLC,5628884.0,161999281.51999998,0.023915497195409276
2019-11-18,Colgate-Palmolive Co,2870296.0,148755477.8661314,0.021960351801128358
2019-11-18,Nestle SA,2633659.0,214341790.35731003,0.03164267420233217
2019-11-18,Not Available,26960807.0,314638918.23662233,0.04644925641676728
2019-11-18,PepsiCo Inc,1154038.0,119439770.15363237,0.01763255652326379
2019-11-18,Starbucks Corp,2290004.0,148541755.63962016,0.021928800591389845
2019-11-18,Visa Inc,1508154.0,209183160.37983477,0.03088112020282735
2019-11-19,Accenture PLC,1061355.0,162857148.92464802,0.023959237695172508
2019-11-19,Alphabet Inc,176472.0,179371310.92371964,0.026388770173697052
2019-11-19,Apple Inc,530852.0,109361425.87033886,0.016089047453009125
2019-11-19,British American Tobacco PLC,5628884.0,162646603.18,0.023928262600894864
2019-11-19,Colgate-Palmolive Co,3270296.0,169915735.23131675,0.02499768364753051
2019-11-19,Nestle SA,2633659.0,214099217.93329686,0.031497874589391385
2019-11-19,Not Available,26971841.0,318460841.0742951,0.046851360460902665
2019-11-19,PepsiCo Inc,1196438.0,124558766.5635154,0.018324851655689884
2019-11-19,Starbucks Corp,2290004.0,148214246.20145443,0.021805001364689956
2019-11-19,Visa Inc,1547554.0,218819777.64196196,0.03219235446246402
