yyyymmdd,security,allocation,contribution
2020-01-06,AutoZone Inc,0.013132977382194285,0.014248823606474713
2020-01-07,Visa Inc,0.03138871285011126,0.03976606688515108
2020-01-07,Accenture PLC,0.02326593979112176,0.03270148564737254
2020-01-07,Alphabet Inc,0.049696525529744635,0.03185152073290873
2020-01-07,Nestle SA,0.030698817531582767,0.0294878905791851
2020-01-07,Starbucks Corp,0.021627496494721527,0.02246715824756899
2020-01-07,Apple Inc,0.015373227964567129,0.021159243717146642
2020-01-07,British American Tobacco PLC,0.027050677877741975,0.019933703598256906
2020-01-07,Texas Instruments Inc,0.013189581800446598,0.019184083269875335
2020-01-07,Morgan Stanley Liquidity Funds,0.0,0.01901492686865551
2020-01-07,Colgate-Palmolive Co,0.023746041745811856,0.018192361141866124
2020-01-07,Alibaba Group Holding Ltd,0.013275696524545855,0.0168238547430916
2020-01-07,Facebook Inc,0.011487126924858447,0.016615528201629114
2020-01-07,Microsoft Corp,0.011611592882379769,0.016402389155068014
2020-01-07,Moody's Corp,0.012693730514589247,0.016103025833251367
2020-01-07,3M Co,0.01329492101064495,0.01534372395127163
2020-01-07,Anheuser-Busch InBev SA/NV,0.014753947591785924,0.014782912264583406
2020-01-07,Cie Financiere Richemont SA,0.013215433597427821,0.014758374834674954
2020-01-07,Rockwell Automation Inc,0.012085704176528681,0.014577537609463929
2020-01-07,Automatic Data Processing Inc,0.01113441689509655,0.01424813731021702
2020-01-07,Assa Abloy AB,0.01135395147507112,0.014028684852075809
2020-01-08,Visa Inc,0.0318523372038818,0.041177197106014515
2020-01-08,Accenture PLC,0.023257769541370422,0.033192347705848904
2020-01-08,Alphabet Inc,0.04995219934927739,0.03242295958437738
2020-01-08,Nestle SA,0.030021654185975025,0.02914557755253384
2020-01-08,Starbucks Corp,0.02182808038676018,0.023086221937742894
2020-01-08,Apple Inc,0.015584473076258687,0.021635429580019887
2020-01-08,British American Tobacco PLC,0.027430661177645893,0.019890279786567655
2020-01-08,Texas Instruments Inc,0.013194728928306868,0.019240784473875946
2020-01-08,Morgan Stanley Liquidity Funds,0.0,0.01923736169548661
2020-01-08,Colgate-Palmolive Co,0.024294474439215532,0.018486549151040414
2020-01-08,Facebook Inc,0.011576801087718469,0.017046945143851522
2020-01-08,Microsoft Corp,0.01176931959293793,0.016854386479834366
2020-01-08,Alibaba Group Holding Ltd,0.013267573274736707,0.016669706219088174
2020-01-08,Moody's Corp,0.01290721088166141,0.016667354934863363
2020-01-08,3M Co,0.013467783999799421,0.015040567903905053
2020-01-08,Cie Financiere Richemont SA,0.013139631484427474,0.014575894292401526
2020-01-08,Anheuser-Busch InBev SA/NV,0.014538734035157087,0.01454777635414466
2020-01-08,Automatic Data Processing Inc,0.011213111632824613,0.014455073337186897
2020-01-08,Rockwell Automation Inc,0.012149501304483066,0.014447369902468374
2020-01-08,Assa Abloy AB,0.01132324420205245,0.013830214459977645
2020-01-09,Visa Inc,0.0318629460573088,0.0407343520741206
2020-01-09,Accenture PLC,0.02331119959622874,0.03306944911395263
2020-01-09,Alphabet Inc,0.05015843173598527,0.03237169126513794
2020-01-09,Nestle SA,0.0297174565750198,0.028634292780924848
2020-01-09,Starbucks Corp,0.022087643033653154,0.02314256334047424
2020-01-09,Apple Inc,0.015811229362180133,0.02181751013157275
2020-01-09,British American Tobacco PLC,0.027106245383368394,0.01980864789005117
2020-01-09,Texas Instruments Inc,0.013266884122720217,0.019415997593877746
2020-01-09,Morgan Stanley Liquidity Funds,0.0,0.01900591386256444
2020-01-09,Colgate-Palmolive Co,0.024340879033826583,0.018602452212347895
2020-01-09,Facebook Inc,0.01166554507033618,0.017020951127546265
2020-01-09,Alibaba Group Holding Ltd,0.013409195923107044,0.016954518087121645
2020-01-09,Microsoft Corp,0.011838283326622574,0.016830115986066648
2020-01-09,Moody's Corp,0.012991272119708831,0.016591914321883193
2020-01-09,3M Co,0.01342177054021644,0.01529742868028447
2020-01-09,Rockwell Automation Inc,0.012175099649789816,0.014633432482217176
2020-01-09,Cie Financiere Richemont SA,0.013025389911468451,0.014481739018257578
2020-01-09,Automatic Data Processing Inc,0.011238107849165228,0.01443591582736146
2020-01-09,Anheuser-Busch InBev SA/NV,0.014406851946529452,0.014409909888282139
2020-01-09,Assa Abloy AB,0.01122147133884862,0.013770095500045076
2020-01-10,Visa Inc,0.031952336195828074,0.04083607107108896
2020-01-10,Accenture PLC,0.023484633423693255,0.03349376444142738
2020-01-10,Alphabet Inc,0.0505000814967496,0.03309185120684757
2020-01-10,Nestle SA,0.029701699041031114,0.028732599673234098
2020-01-10,Starbucks Corp,0.021999884951544865,0.02340393412125021
2020-01-10,Apple Inc,0.01584878666216918,0.021903873441245232
2020-01-10,British American Tobacco PLC,0.027283337982825707,0.02104485547695305
2020-01-10,Texas Instruments Inc,0.013134029761206421,0.019109938645363644
