yyyymmdd,portfolio,var_%_mv,cvar_%_mv,volatility_1yr,volatility_1yr_vs_msci
2020-01-08,LPPI GF FT EGL BNYMILTD BRZEX650557,0.7471235543,0.9883124096,0.4612816019,
2020-01-08,OVERALL,0.17989910550000002,0.2407159806,0.1058337873,0.1138804802
2020-01-09,LPPI  GF BARON BNYMILTD BRZEX589145,0.42727223090000005,0.5793878929,0.2582051972,
2020-01-09,LPPI GEF BARON BNYMILTD,0.215724973,0.29354041389999996,0.12847745829999999,
2020-01-09,LPPI GEF CASH ONLY BNYMILTD,2.5e-09,3.4e-09,1.5e-09,
2020-01-09,LPPI GEF FIRST EAGLE BNYMILTD,0.15269344470000001,0.2070851275,0.0908137247,
2020-01-09,LPPI GEF INTERNAL EQUITY BNYMILTD,0.1972266423,0.2637542854,0.1154355234,
2020-01-09,LPPI GEF INTRNL INCUBATOR BNYMILTD,0.2101282809,0.282188405,0.13275170960000002,
2020-01-09,LPPI GEF MAGELLAN BNYMILTD,0.2079409361,0.27968763630000004,0.12225358,
2020-01-09,LPPI GEF ROBECO BNYMILTD,0.16436137290000002,0.22253079509999998,0.0985035675,
2020-01-09,LPPI GEF WELLINGTON BNYMILTD,0.1880634706,0.2548649896,0.1154098619,
2020-01-09,LPPI GF FT EGL BNYMILTD BRZEX650557,0.7465149796,0.9872981518,0.460075072,
2020-01-09,OVERALL,0.179583907,0.2404017893,0.1058161589,0.114199936
2020-01-10,LPPI  GF BARON BNYMILTD BRZEX589145,0.42510442660000003,0.5764445371,0.2548320582,
2020-01-10,LPPI GEF BARON BNYMILTD,0.21717349649999998,0.2956734012,0.1283128255,
2020-01-10,LPPI GEF CASH ONLY BNYMILTD,1.9999999999999997e-09,2.9e-09,1.2e-09,
2020-01-10,LPPI GEF FIRST EAGLE BNYMILTD,0.1528670741,0.2074112882,0.09059615559999999,
2020-01-10,LPPI GEF INTERNAL EQUITY BNYMILTD,0.1981253977,0.2641068537,0.1150792107,
2020-01-10,LPPI GEF INTRNL INCUBATOR BNYMILTD,0.2104447828,0.2826551248,0.13258905540000002,
2020-01-10,LPPI GEF MAGELLAN BNYMILTD,0.2078540297,0.2795376392,0.12271683,
2020-01-10,LPPI GEF ROBECO BNYMILTD,0.1639169396,0.22282395829999999,0.0980126087,
2020-01-10,LPPI GEF WELLINGTON BNYMILTD,0.1878142778,0.2550212849,0.1147217617,
2020-01-10,LPPI GF FT EGL BNYMILTD BRZEX650557,0.7611729981,1.0041771018999999,0.46765388369999994,
2020-01-10,OVERALL,0.17908511359999998,0.2405745027,0.1054589385,0.1136927774
2020-01-06,LPPI  GF BARON BNYMILTD BRZEX589145,0.42938243460000003,0.5816098859000001,0.2580216516,
2020-01-06,LPPI GEF BARON BNYMILTD,0.2131788841,0.29196927240000004,0.1281952229,
2020-01-06,LPPI GEF CASH ONLY BNYMILTD,2.5e-09,3.4e-09,1.5e-09,
2020-01-06,LPPI GEF FIRST EAGLE BNYMILTD,0.153475713,0.20819867309999998,0.0909778654,
2020-01-06,LPPI GEF INTERNAL EQUITY BNYMILTD,0.19782516149999999,0.2653275094,0.1152773168,
2020-01-06,LPPI GEF INTRNL INCUBATOR BNYMILTD,0.21107948170000002,0.2835723538,0.1324308052,
2020-01-06,LPPI GEF MAGELLAN BNYMILTD,0.2083404621,0.2794904016,0.1217433926,
2020-01-06,LPPI GEF ROBECO BNYMILTD,0.16489555,0.2238398093,0.09848104120000001,
