yyyymmdd,security_name,positions,mkt_val_gbp
20191021,PepsiCo Inc,1168627.0,122741903.73456791
20191021,Starbucks Corp,2248104.0,148052219.44444448
20191021,Visa Inc,1528695.0,208107761.45833337
20191022,Accenture PLC,1061355.0,150660958.35922936
20191022,Alphabet Inc,180207.0,173866455.25170913
20191022,Anheuser-Busch InBev SA/NV,1504888.0,107748419.98271392
20191022,Apple Inc,816235.0,152162640.304537
20191022,British American Tobacco PLC,5628884.0,150178625.12
20191022,Colgate-Palmolive Co,2870296.0,149535464.38781855
20191022,Nestle SA,2654707.0,213635445.944885
20191022,PepsiCo Inc,1168627.0,124071291.03480424
20191022,Starbucks Corp,2248104.0,145763486.51336232
20191022,Visa Inc,1528695.0,202915496.97016782
20191023,Accenture PLC,1061355.0,151303914.8466543
20191023,Alphabet Inc,180207.0,175614702.5325279
20191023,Anheuser-Busch InBev SA/NV,1504888.0,106665423.58620688
20191023,Apple Inc,816235.0,153726786.9423792
20191023,British American Tobacco PLC,5628884.0,152908633.85999998
20191023,Colgate-Palmolive Co,2870296.0,150139243.9900868
20191023,Nestle SA,2654707.0,212700279.44969904
20191023,PepsiCo Inc,1168627.0,124401937.07403965
20191023,Starbucks Corp,2248104.0,144058337.1747212
20191023,Visa Inc,1528695.0,202831495.8178439
20191024,Accenture PLC,1061355.0,152790191.42479187
20191024,Alphabet Inc,180207.0,176679483.16084352
20191024,Anheuser-Busch InBev SA/NV,1504888.0,107724184.2059789
20191024,Apple Inc,810419.0,153608170.58594662
20191024,British American Tobacco PLC,5628884.0,155385342.82
20191024,Colgate-Palmolive Co,2870296.0,152638727.445335
20191024,Nestle SA,2654707.0,216548480.3481807
20191024,PepsiCo Inc,1168627.0,125392558.5790989
20191024,Starbucks Corp,2248104.0,145511859.55956736
20191024,Visa Inc,1528695.0,209551716.75356004
20191025,Accenture PLC,1061355.0,151479114.25118887
20191025,Alphabet Inc,180207.0,177673731.9638263
20191025,Apple Inc,810419.0,155791001.0290793
20191025,British American Tobacco PLC,5628884.0,152486467.56
20191025,Colgate-Palmolive Co,2870296.0,153080961.53426367
20191025,London Stock Exchange Group PL,1506720.0,102728169.60000001
20191025,Nestle SA,2654707.0,217819978.648691
20191025,PepsiCo Inc,1168627.0,124488339.65853278
